cactus.id,tag,fruit.id,fruit.weight,fruit.x,fruit.y,fruit.z,color,dessication,seeds
,321,453,3.37,20,20,20,grey,dessicated,
,314,652,3.35,20,20,20,grey,dessicated,
,305,709,3.34,15,15,15,grey,dessicated,
,400,88,3.33,20,20,20,grey,dessicated,
,341,353,3.33,15,15,20,grey,dessicated,
,319,516,3.33,20,20,20,grey,dessicated,
,309,562,3.32,20,20,20,grey,dessicated,
,387,64,3.31,20,20,20,grey,dessicated,
,336,525,3.31,15,15,25,grey,dessicated,
,402,634,3.31,15,15,20,grey,dessicated,
,374,208,3.3,20,20,25,grey,dessicated,
,319,517,3.29,20,15,20,grey,dessicated,
,394,52,3.28,15,15,25,green,not dessicated,
,370,184,3.28,20,20,20,grey,dessicated,
,333,484,3.28,20,15,20,grey,dessicated,
,334,550,3.28,20,20,20,grey,dessicated,
,303,591,3.28,20,20,30,grey,dessicated,
,388,10,3.27,20,20,25,grey,dessicated,
,374,207,3.27,20,20,20,grey,dessicated,
,343,364,3.27,20,20,15,grey,dessicated,
,324,462,3.27,15,15,25,grey,dessicated,
,308,571,3.27,15,15,20,grey,dessicated,
,304,665,3.27,20,20,25,grey,dessicated,
,361,190,3.26,20,20,20,black,dessicated,
,363,224,3.25,20,20,20,grey,dessicated,
,343,366,3.24,15,15,20,grey,dessicated,
,365,256,3.23,20,20,20,grey,dessicated,
,332,448,3.23,20,20,20,grey,dessicated,
,324,466,3.23,15,15,25,grey,dessicated,
,338,347,3.22,20,15,25,grey,dessicated,
,341,357,3.22,20,20,20,grey,dessicated,
,314,656,3.22,15,15,20,grey,dessicated,
,350,330,3.21,15,15,20,grey,dessicated,
,314,655,3.21,20,20,20,grey,dessicated,
,387,65,3.2,20,20,15,grey,dessicated,
,317,597,3.19,20,20,20,grey,dessicated,
,374,206,3.18,20,15,25,grey,dessicated,
,316,632,3.18,15,15,20,grey,dessicated,
,366,248,3.17,20,15,20,grey,dessicated,
,332,443,3.17,20,20,20,grey,dessicated,
,366,247,3.16,20,15,20,grey,dessicated,
,372,176,3.15,20,20,25,grey,dessicated,
,376,196,3.15,20,20,15,grey,dessicated,
,344,388,3.15,20,20,20,grey,dessicated,
,332,441,3.15,15,15,20,grey,dessicated,
,306,623,3.15,20,20,20,grey,dessicated,
,402,698,3.14,20,20,20,grey,dessicated,
,369,269,3.13,15,15,20,grey,dessicated,
,336,526,3.13,20,20,20,grey,dessicated,
,402,638,3.13,20,20,20,grey,dessicated,
,304,662,3.13,20,20,20,grey,dessicated,
,321,452,3.12,20,20,20,grey,dessicated,
,366,253,3.11,20,20,20,grey,dessicated,
,306,619,3.11,15,15,15,grey,dessicated,
,382,18,3.1,20,20,20,grey,dessicated,
,326,495,3.09,15,15,20,grey,dessicated,
,310,615,3.07,15,15,20,grey,dessicated,
,302,685,3.07,20,20,25,grey,dessicated,
,376,203,3.06,20,20,20,grey,dessicated,
,304,660,3.06,15,15,20,grey,dessicated,
,370,180,3.05,20,20,20,grey,dessicated,
,371,159,3.04,20,20,25,grey,dessicated,
,332,449,3.04,15,15,20,grey,dessicated,
,379,126,3.03,15,15,20,brown,not dessicated,
,366,249,3.03,15,15,20,grey,dessicated,
,332,444,3.03,20,20,20,grey,dessicated,
,321,457,3.03,20,20,25,grey,dessicated,
,334,552,3.03,20,20,20,grey,dessicated,cracked
,306,617,3.02,20,20,20,grey,dessicated,
,363,221,3.01,20,15,20,grey,dessicated,
,402,696,3.01,20,20,20,grey,dessicated,
,376,199,3,20,20,20,grey,dessicated,
,354,318,3,20,15,15,grey,dessicated,
,370,182,2.99,20,20,20,grey,dessicated,
,376,205,2.99,20,20,20,grey,dessicated,
,319,513,2.98,20,20,20,grey,dessicated,
,402,693,2.98,20,20,20,grey,dessicated,
,394,57,2.97,15,15,25,yellow,not dessicated,
,372,178,2.97,20,20,20,grey,dessicated,
,376,200,2.97,20,15,20,grey,dessicated,
,341,351,2.97,15,15,30,grey,dessicated,
,308,567,2.97,20,20,20,grey,dessicated,
,338,348,2.96,25,15,25,grey,dessicated,
,324,467,2.95,15,15,20,grey,dessicated,
,336,519,2.95,20,20,20,grey,dessicated,
,372,170,2.94,20,20,25,grey,dessicated,
,333,480,2.94,20,20,25,grey,dessicated,
,304,666,2.94,20,20,20,grey,dessicated,
,378,137,2.93,20,20,20,grey,dessicated,
,350,334,2.93,20,15,20,grey,dessicated,
,379,128,2.92,20,20,20,brown,not dessicated,
,363,217,2.92,20,20,25,grey,dessicated,
,378,139,2.91,20,20,20,grey,dessicated,
,363,223,2.91,20,20,25,grey,dessicated,
,388,2,2.9,20,20,20,grey,dessicated,
,402,692,2.9,15,15,20,grey,dessicated,
,378,140,2.89,20,20,20,grey,dessicated,
,338,341,2.89,20,15,20,grey,dessicated,
,323,435,2.89,20,20,20,grey,dessicated,
,318,543,2.89,20,15,20,grey,dessicated,
,370,186,2.88,20,20,25,grey,dessicated,
,336,528,2.88,20,15,20,grey,dessicated,
,372,169,2.87,20,20,20,grey,dessicated,
,378,134,2.86,20,20,20,grey,dessicated,
,372,177,2.86,20,20,30,grey,dessicated,
,374,209,2.86,20,20,20,grey,dessicated,
,326,427,2.86,15,15,15,grey,dessicated,
,335,530,2.86,20,20,20,grey,dessicated,
,306,621,2.86,20,15,20,grey,dessicated,
,344,380,2.85,15,15,30,black,dessicated,
,344,384,2.85,20,20,20,black,dessicated,
,323,433,2.85,15,15,20,grey,dessicated,
,372,172,2.84,20,20,20,grey,dessicated,
,363,219,2.83,25,20,15,grey,dessicated,
,382,13,2.81,20,20,25,green,not dessicated,
,402,635,2.8,20,20,20,grey,dessicated,
,307,643,2.78,15,15,20,grey,dessicated,
,388,6,2.77,20,20,20,grey,dessicated,
,372,171,2.77,20,20,20,grey,dessicated,
,333,482,2.77,15,15,20,grey,dessicated,
,336,523,2.77,20,20,20,grey,dessicated,
,334,546,2.77,20,20,20,grey,dessicated,
,305,700,2.77,15,15,20,grey,dessicated,
,359,302,2.76,20,20,20,grey,dessicated,
,341,354,2.76,20,15,20,grey,dessicated,
,321,456,2.76,20,20,25,grey,dessicated,
,374,212,2.74,20,20,25,grey,dessicated,
,341,359,2.73,20,20,20,grey,dessicated,
,323,431,2.73,20,20,15,grey,dessicated,
,314,658,2.73,20,20,20,grey,dessicated,
,402,697,2.73,20,20,20,grey,dessicated,
,388,4,2.72,20,20,20,grey,dessicated,
,397,42,2.72,15,15,20,yellow,not dessicated,
,374,213,2.72,20,15,20,grey,dessicated,
,303,594,2.72,20,20,20,grey,dessicated,
,323,434,2.71,20,20,20,grey,dessicated,
,374,211,2.7,20,15,20,grey,dessicated,
,354,316,2.69,20,20,20,grey,dessicated,
,354,320,2.69,15,15,20,grey,dessicated,
,302,682,2.69,20,20,25,grey,dessicated,
,378,138,2.68,15,15,15,grey,dessicated,
,313,670,2.68,15,15,15,grey,dessicated,
,333,487,2.67,15,15,20,grey,dessicated,
,354,323,2.66,15,15,20,grey,dessicated,
,306,618,2.66,20,20,20,grey,dessicated,
,372,173,2.65,20,20,25,grey,dessicated,
,314,650,2.65,15,15,20,grey,dessicated,
,335,532,2.64,20,20,20,grey,dessicated,
,366,255,2.63,20,15,15,grey,dessicated,
,354,319,2.63,15,15,15,grey,dessicated,
,326,426,2.63,20,20,20,grey,dessicated,
,333,489,2.63,15,15,20,grey,dessicated,
,340,375,2.61,15,15,25,grey,dessicated,
,335,531,2.6,15,15,20,grey,dessicated,
,310,614,2.6,15,10,20,grey,dessicated,
,380,118,2.59,15,15,25,grey,dessicated,
,371,161,2.59,20,20,20,grey,dessicated,
,321,451,2.59,15,15,20,grey,dessicated,
,334,553,2.59,20,15,25,grey,dessicated,
,354,324,2.58,20,15,20,grey,dessicated,
,342,417,2.57,15,15,20,grey,dessicated,
,340,378,2.56,20,15,20,grey,dessicated,
,333,488,2.56,20,20,20,grey,dessicated,
,402,636,2.56,15,15,15,grey,dessicated,
,371,164,2.55,20,20,20,grey,dessicated,
,306,624,2.54,20,20,20,grey,dessicated,
,314,659,2.54,20,20,20,grey,dessicated,
,338,346,2.52,20,20,25,grey,dessicated,
,321,454,2.52,15,15,20,grey,dessicated,
,363,216,2.51,20,15,20,grey,dessicated,
,336,524,2.51,20,20,15,grey,dessicated,
,394,55,2.5,15,15,25,yellow green,not dessicated,
,350,331,2.5,15,15,20,grey,dessicated,
,350,337,2.5,20,20,15,grey,dessicated,
,343,362,2.5,15,15,15,grey,dessicated,
,354,325,2.48,15,15,20,grey,dessicated,
,307,647,2.48,15,15,20,grey,dessicated,
,359,296,2.47,20,20,20,grey,dessicated,
,354,317,2.47,20,15,20,grey,dessicated,
,302,681,2.47,15,15,20,grey,dessicated,
,374,214,2.46,15,15,20,grey,dessicated,
,354,321,2.46,15,10,15,grey,dessicated,
,326,423,2.46,15,15,20,grey,dessicated,
,310,613,2.46,15,15,15,grey,dessicated,
,338,345,2.45,20,15,20,grey,dessicated,
,376,198,2.44,15,15,20,grey,dessicated,
,323,430,2.44,20,20,20,grey,dessicated,
,304,661,2.44,15,15,20,grey,dessicated,
,304,668,2.44,20,20,20,grey,dessicated,
,376,197,2.42,15,15,20,grey,dessicated,
,374,215,2.42,15,15,20,grey,dessicated,
,359,298,2.41,20,20,15,grey,dessicated,cracked
,326,421,2.41,20,20,20,grey,dessicated,
,333,485,2.41,15,15,20,grey,dessicated,
,366,251,2.4,20,15,20,grey,dessicated,
,321,459,2.4,15,15,20,grey,dessicated,
,333,486,2.4,20,15,20,grey,dessicated,
,323,432,2.39,15,15,20,grey,dessicated,
,324,469,2.39,15,15,25,grey,dessicated,
,322,473,2.39,20,15,20,grey,dessicated,
,303,586,2.39,15,15,20,grey,dessicated,
,378,135,2.38,20,20,15,grey,dessicated,
,307,648,2.36,20,20,25,brown,not dessicated,
,359,297,2.35,20,20,20,grey,dessicated,
,379,129,2.34,20,20,25,brown,not dessicated,
,363,225,2.34,20,20,20,grey,dessicated,
,359,301,2.33,20,20,20,grey,dessicated,
,336,521,2.33,20,15,20,yellow,not dessicated,
,372,174,2.31,20,20,25,grey,dessicated,
,359,300,2.31,20,20,15,grey,dessicated,
,326,422,2.31,20,20,15,grey,dessicated,
,317,603,2.27,15,15,15,yellow green,not dessicated,
,323,437,2.26,15,15,20,grey,dessicated,
,316,629,2.26,15,15,20,grey,dessicated,
,314,651,2.26,15,15,15,grey,dessicated,
,323,438,2.25,20,20,20,grey,dessicated,
,308,568,2.25,15,15,15,grey,dessicated,
,314,657,2.25,15,15,20,grey,dessicated,
,372,175,2.24,20,20,25,grey,dessicated,
,303,590,2.21,20,15,25,grey,dessicated,
,313,677,2.21,15,15,15,grey,dessicated,
,303,595,2.18,15,15,20,grey,dessicated,
,368,238,2.16,15,15,15,grey,dessicated,
,350,333,2.16,15,10,15,grey,dessicated,
,371,162,2.15,20,20,20,grey,dessicated,
,326,420,2.15,20,20,20,grey,dessicated,
,326,424,2.14,15,15,20,grey,dessicated,
,322,472,2.14,20,15,15,brown,not dessicated,
,323,436,2.11,20,20,20,grey,dessicated,
,302,687,2.11,15,15,25,grey,dessicated,
,313,673,2.1,15,15,15,grey,dessicated,
,304,663,2.08,15,15,20,grey,dessicated,
,344,385,2.07,20,15,30,grey,dessicated,
,326,428,2.07,20,20,20,grey,dessicated,
,335,529,2.07,15,15,15,grey,dessicated,
,323,439,2.06,15,15,20,grey,dessicated,
,305,702,2.05,15,15,15,grey,dessicated,
,379,127,2.04,20,15,20,brown,not dessicated,
,359,304,2.04,20,20,20,grey,dessicated,
,303,588,2.04,15,15,15,grey,dessicated,
,368,236,2.03,20,20,20,grey,dessicated,
,358,287,2.03,15,15,20,grey,dessicated,
,314,654,2.03,15,15,15,grey,dessicated,
,371,168,2.01,15,15,20,grey,dessicated,
,358,292,2.01,20,15,20,grey,dessicated,
,303,589,2.01,15,15,15,grey,dessicated,
,357,282,2,20,10,20,yellow green,not dessicated,
,368,240,1.99,20,15,15,grey,dessicated,
,350,336,1.97,15,15,10,grey,dessicated,
,302,689,1.97,15,15,25,grey,dessicated,
,335,533,1.95,15,15,15,grey,dessicated,
,357,279,1.94,15,10,20,green,not dessicated,
,368,243,1.93,15,15,15,grey,dessicated,
,357,281,1.93,20,10,20,yellow green,not dessicated,
,305,704,1.93,15,15,15,grey,dessicated,
,354,322,1.91,15,10,15,grey,dessicated,
,335,535,1.9,15,15,20,grey,dessicated,
,358,293,1.89,15,15,15,grey,dessicated,
,310,612,1.89,10,10,15,grey,dessicated,
,394,59,1.88,15,15,20,yellow green,not dessicated,
,313,674,1.86,15,15,15,grey,dessicated,
,394,56,1.84,15,15,25,yellow,not dessicated,
,368,245,1.84,15,10,15,grey,dessicated,
,371,165,1.83,15,15,20,grey,dessicated,
,344,389,1.83,20,15,20,grey,dessicated,cracked
,313,679,1.83,15,15,15,grey,dessicated,
,313,678,1.8,15,15,15,grey,dessicated,
,368,242,1.79,15,10,15,grey,dessicated,
,303,587,1.78,10,10,15,grey,dessicated,
,357,284,1.77,15,10,20,yellow green,not dessicated,
,326,425,1.77,15,15,15,grey,dessicated,
,367,246,1.76,15,15,10,grey,dessicated,
,351,329,1.75,20,20,20,grey,dessicated,cracked
,358,288,1.74,15,15,15,grey,dessicated,
,316,627,1.74,15,15,15,grey,dessicated,
,326,429,1.73,15,15,15,grey,dessicated,
,371,163,1.72,15,10,20,grey,dessicated,
,324,463,1.71,15,15,25,grey,dessicated,
,371,166,1.69,15,15,25,grey,dessicated,
,303,593,1.66,15,15,15,grey,dessicated,
,305,701,1.65,15,15,15,grey,dessicated,
,361,192,1.63,20,20,20,grey,dessicated,
,310,607,1.63,10,10,15,grey,dessicated,
,373,153,1.62,20,20,20,grey,dessicated,
,306,625,1.61,15,15,15,yellow,not dessicated,
,358,289,1.6,15,15,20,grey,dessicated,
,313,675,1.59,15,15,15,grey,dessicated,
,303,592,1.58,20,15,15,grey,dessicated,
,368,241,1.57,20,15,15,grey,dessicated,
,324,465,1.57,10,10,20,grey,dessicated,
,358,286,1.56,15,10,15,grey,dessicated,
,313,671,1.55,15,15,15,grey,dessicated,
,376,202,1.54,20,15,20,grey,dessicated,
,336,520,1.54,20,10,15,yellow brown,not dessicated,
,318,545,1.54,15,10,25,grey,dessicated,
,357,285,1.5,15,10,20,yellow green,not dessicated,
,313,676,1.5,15,15,15,grey,dessicated,
,368,239,1.48,10,10,15,grey,dessicated,
,313,672,1.48,10,10,15,grey,dessicated,
,332,442,1.47,15,15,20,grey,dessicated,
,335,534,1.47,15,15,15,grey,dessicated,
,311,576,1.47,15,15,15,grey,dessicated,
,305,707,1.47,15,15,15,grey,dessicated,
,305,706,1.44,15,15,15,grey,dessicated,
,316,631,1.43,15,15,15,grey,dessicated,
,358,291,1.42,15,10,15,grey,dessicated,
,358,295,1.41,15,10,15,grey,dessicated,
,361,189,1.4,20,15,20,grey,dessicated,
,344,381,1.4,10,10,20,grey,dessicated,
,361,194,1.36,15,15,15,grey,dessicated,
,357,277,1.36,20,10,20,grey,dessicated,
,311,577,1.36,15,15,15,grey,dessicated,
,321,458,1.35,15,15,25,grey,dessicated,
,319,511,1.35,15,15,15,grey,dessicated,
,355,407,1.34,15,15,25,grey,dessicated,
,305,708,1.33,15,15,15,grey,dessicated,
,361,195,1.31,15,15,15,grey,dessicated,
,311,578,1.3,15,15,15,grey,dessicated,
,344,386,1.29,20,10,20,grey,dessicated,
,304,669,1.29,15,15,15,grey,dessicated,
,386,38,1.28,15,10,25,green,not dessicated,may not be mature fruit
,359,299,1.28,15,15,15,grey,dessicated,
,344,382,1.28,10,10,20,grey,dessicated,
,394,60,1.25,10,10,15,yellow,not dessicated,
,319,518,1.25,15,15,15,grey,dessicated,
,356,314,1.21,15,15,20,grey,dessicated,
,310,608,1.18,10,10,20,grey,dessicated,
,386,37,1.17,10,10,25,green,not dessicated,may not be mature fruit
,359,305,1.17,10,10,10,grey,dessicated,
,351,328,1.17,20,15,15,grey,dessicated,cracked
,319,512,1.17,10,10,15,grey,dessicated,
,322,477,1.15,15,10,15,brown,not dessicated,
,371,167,1.14,15,15,15,grey,dessicated,
,357,276,1.12,15,10,20,grey,dessicated,
,350,339,1.09,15,10,20,grey,dessicated,
,371,160,1.08,15,15,15,grey,dessicated,
,310,610,1.06,10,10,15,grey,dessicated,
,305,705,1.05,10,10,10,grey,dessicated,
,359,303,1.03,15,15,15,grey,dessicated,
,344,387,1.03,10,10,20,grey,dessicated,
,334,548,1.03,15,10,20,grey,dessicated,
,361,193,0.98,10,10,10,grey,dessicated,
,310,606,0.98,15,15,15,grey,dessicated,cracked
,341,358,0.97,15,15,20,grey,dessicated,
,316,630,0.97,15,15,20,grey,dessicated,
,386,36,0.96,10,10,20,green,not dessicated,may not be mature fruit
,302,688,0.92,10,10,25,grey,dessicated,
,357,280,0.91,15,10,20,grey,dessicated,
,319,509,0.9,10,10,15,grey,dessicated,
,310,609,0.88,10,10,10,grey,dessicated,
,310,611,0.88,10,10,15,grey,dessicated,
,350,332,0.87,15,10,15,grey,dessicated,
,357,283,0.86,15,10,15,grey,dessicated,
,402,637,0.85,15,15,10,grey,dessicated,
,350,335,0.81,20,10,20,grey,dessicated,
,305,703,0.81,15,15,15,grey,dessicated,
,319,515,0.8,15,10,15,grey,dessicated,
,324,468,0.77,10,10,20,grey,dessicated,
,319,510,0.77,10,10,15,grey,dessicated,
,319,514,0.74,15,10,15,grey,dessicated,
,307,640,0.7,10,10,15,grey,dessicated,
,358,290,0.6,10,10,15,grey,dessicated,
,358,294,0.51,10,10,10,grey,dessicated,
