id,date,time,lat,lon,treatment,x,y,z,south.quad,west.quad
1,8/14/2019,17:30,34.78251,-115.66364,zero,220,140,185,10,5
2,8/14/2019,17:30,34.78249,-115.66331,fifteen mimics,165,80,115,7,5
3,8/14/2019,17:30,34.78252,-115.66304,fifteen real,200,160,160,5,5
4,8/14/2019,17:30,34.78214,-115.66341,thirty mimics,120,85,95,6,9
5,8/14/2019,17:30,34.78289,-115.66287,thirty real,195,270,178,2,5
6,8/14/2019,17:30,34.78204,-115.66355,shrub,235,180,160,10,8
7,8/14/2019,17:30,34.78302,-115.66261,open,,,,1,3
8,8/14/2019,17:30,34.78289,-115.66266,pole,5,5,173,2,3
9,8/15/2019,8:00,34.7829,-115.66282,zero,75,50,120,2,4
10,8/15/2019,8:00,34.78303,-115.6632,fifteen mimics,90,95,100,1,8
11,8/15/2019,8:00,34.78246,-115.66348,fifteen real,195,135,130,6,9
12,8/15/2019,8:00,34.7821,-115.66319,thirty mimics,170,100,110,9,5
13,8/15/2019,8:00,34.78192,-115.66375,thirty real,190,120,145,10,10
14,8/15/2019,8:00,34.78252,-115.66283,shrub,300,250,220,5,3
15,8/15/2019,8:00,34.78306,-115.66248,open,,,,0,1
16,8/15/2019,8:00,34.78271,-115.66315,pole,5,5,160,2,7
17,8/16/2019,7:00,34.78205,-115.66322,zero,50,80,100,9,9
18,8/16/2019,7:00,34.78252,-115.66286,fifteen mimics,110,160,120,5,3
19,8/16/2019,7:00,34.78199,-115.6628,fifteen real,120,80,115,10,3
20,8/16/2019,7:00,34.7822,-115.66309,thirty mimics,175,70,125,8,5
21,8/16/2019,7:00,34.78293,-115.66327,thirty real,195,135,190,2,9
22,8/16/2019,7:00,34.78266,-115.66302,shrub,350,280,190,3,6
23,8/16/2019,7:00,34.78301,-115.6633,open,,,,1,10
24,8/16/2019,7:00,34.78263,-115.66257,pole,5,5,170,3,1
25,8/17/2019,7:00,34.78276,-115.66266,zero,80,40,105,3,2
26,8/17/2019,7:00,34.78199,-115.66264,fifteen mimics,100,90,80,10,2
27,8/17/2019,7:00,34.78214,-115.66253,fifteen real,100,70,110,9,1
28,8/17/2019,7:00,34.78267,-115.66325,thirty mimics,240,220,165,4,8
29,8/17/2019,7:00,34.7826,-115.66341,thirty real,270,195,160,4,10
30,8/17/2019,7:00,34.78214,-115.66225,shrub,230,210,150,8,0
31,8/17/2019,7:00,34.78205,-115.66331,open,,,,9,7
32,8/17/2019,7:00,34.78299,-115.66341,pole,5,5,170,2,10
33,8/18/2019,7:00,34.78227,-115.66233,zero,25,15,85,7,0
34,8/18/2019,7:00,34.78263,-115.66294,fifteen mimics,130,115,120,4,6
35,8/18/2019,7:00,34.78294,-115.66298,fifteen real,110,75,115,4,6
36,8/18/2019,7:00,34.78266,-115.66317,thirty mimics,110,105,135,4,7
37,8/18/2019,7:00,34.7823,-115.66275,thirty real,140,130,135,8,3
38,8/18/2019,7:00,34.778205,-115.66312,shrub,260,250,255,10,6
39,8/18/2019,7:00,34.78276,-115.66287,open,,,,3,4
40,8/18/2019,7:00,34.78305,-115.66322,pole,5,5,170,1,9
41,8/19/2019,6:30,34.7831,-115.66309,zero,90,30,115,2,7
42,8/19/2019,6:30,34.78227,-115.66285,fifteen mimics,125,85,140,8,4
43,8/19/2019,6:30,34.78297,-115.66322,fifteen real,100,90,105,2,8
44,8/19/2019,6:30,34.78246,-115.66341,thirty mimics,235,140,145,7,7
45,8/19/2019,6:30,34.78239,-115.66351,thirty real,160,100,135,7,7
46,8/19/2019,6:30,34.78254,-115.66326,shrub,300,240,185,6,7
47,8/19/2019,6:30,34.7829,-115.66333,open,,,,2,9
48,8/19/2019,6:30,34.78294,-115.66236,pole,5,5,170,0,0
49,8/20/2019,7:00,34.7831,-115.7831,zero,90,35,115,1,10
50,8/20/2019,7:00,34.78207,-115.66241,fifteen mimics,135,80,145,9,0
51,8/20/2019,7:00,34.78186,-115.66225,fifteen real,110,140,120,10,0
52,8/20/2019,7:00,34.78277,-115.66322,thirty mimics,290,280,210,4,8
53,8/20/2019,7:00,34.78315,-115.66318,thirty real,120,110,170,0,10
54,8/20/2019,7:00,34.78241,-115.66334,shrub,245,100,155,8,8
55,8/20/2019,7:00,34.78242,-115.66331,open,,,,8,8
56,8/20/2019,7:00,34.78272,-115.66283,pole,5,5,170,3,4
57,8/21/2019,6:00,34.78236,-115.66347,zero,60,35,80,8,8
58,8/21/2019,6:00,34.78309,-115.66317,fifteen mimics,120,110,170,0,9
59,8/21/2019,6:00,34.77911,-115.66446,fifteen real,170,175,145,2,3
60,8/21/2019,6:00,34.78317,-115.66304,thirty mimics,270,280,190,0,8
61,8/21/2019,6:00,34.78251,-115.66342,thirty real,200,180,130,7,9
62,8/21/2019,6:00,34.78276,-115.6627,shrub,160,120,140,3,2
63,8/21/2019,6:00,34.78266,-115.66301,open,,,,3,5
64,8/21/2019,6:00,34.78228,-115.66318,pole,5,5,170,7,6
65,8/22/2019,6:30,34.78211,-115.66286,zero,30,20,40,8,4
66,8/22/2019,6:30,34.78286,-115.66309,fifteen mimics,140,130,140,4,6
67,8/22/2019,6:30,34.78255,-115.66296,fifteen real,110,70,105,4,5
68,8/22/2019,6:30,34.78313,-115.66238,thirty mimics,355,290,150,0,1
69,8/22/2019,6:30,34.78198,-115.66258,thirty real,210,110,130,9,2
70,8/22/2019,6:30,34.78234,-115.6629,shrub,310,300,160,7,5
71,8/22/2019,6:30,34.78216,-115.66338,open,,,,9,6
72,8/22/2019,6:30,34.78314,-115.6629,pole,5,5,170,0,6
73,8/23/2019,7:00,34.78312,-115.66306,zero,70,40,105,2,6
74,8/23/2019,7:00,34.78301,-115.66318,fifteen mimics,100,100,120,3,8
75,8/23/2019,7:00,34.78294,-115.66275,fifteen real,175,135,150,1,2
76,8/23/2019,7:00,34.78268,-115.66283,thirty mimics,250,210,200,2,4
77,8/23/2019,7:00,34.78246,-115.66338,thirty real,265,130,140,7,8
78,8/23/2019,7:00,34.78225,-115.66273,shrub,360,175,160,8,1
79,8/23/2019,7:00,34.78255,-115.66328,open,,,,6,6
80,8/23/2019,7:00,34.78215,-115.66353,pole,5,5,170,8,9
81,8/24/2019,7:00,34.78311,-115.66244,zero,45,20,60,0,0
82,8/24/2019,7:00,34.78286,-115.66309,fifteen mimics,130,120,140,3,6
83,8/24/2019,7:00,34.78281,-115.66247,fifteen real,170,130,140,2,0
84,8/24/2019,7:00,34.78185,-115.6629,thirty mimics,310,300,210,9,4
85,8/24/2019,7:00,34.78265,-115.66335,thirty real,180,120,120,5,10
86,8/24/2019,7:00,34.78402,-115.66016,shrub,210,140,170,1,7
87,8/24/2019,7:00,34.78307,-115.663,open,,,,0,7
88,8/24/2019,7:00,34.78199,-115.6627,pole,5,5,170,7,2
