transect,year,transect_start_lat,transect_start_long,transect_end_lat,transect_end_long,meter,cactus_id,cactus_number,species,distance_meters,x,y,z,primary,secondary,tertiary,quaternary,health_index,lat,long,species_letter
1,2018,34.78286,115.66251,34.78203,115.66281,0,1a,1,Cylindropuntia anthrocarpa,1.67,0.8,0.7,1.1,7,4,4,4,5,34.78286,115.66254,a
1,2018,34.78286,115.66251,34.78203,115.66281,5,2a,2,Cylindropuntia anthrocarpa,0,0.45,0.8,0.85,5,4,4,1,5,34.78283,115.66254,a
1,2018,34.78286,115.66251,34.78203,115.66281,10,3a,3,Cylindropuntia anthrocarpa,0.2,0.25,0.3,0.45,3,4,0,0,5,34.78275,115.66255,a
1,2018,34.78286,115.66251,34.78203,115.66281,15,4a,4,Cylindropuntia anthrocarpa,2.19,0.72,0.55,0.75,10,6,2,3,1,34.7827,115.66258,a
1,2018,34.78286,115.66251,34.78203,115.66281,20,5a,5,Cylindropuntia anthrocarpa,0,2.1,1.5,1,6,3,3,3,1,34.78265,115.66257,a
1,2018,34.78286,115.66251,34.78203,115.66281,25,6a,6,Cylindropuntia anthrocarpa,2.02,1,1.1,1.4,2,4,5,3,5,34.78262,115.66257,a
1,2018,34.78286,115.66251,34.78203,115.66281,30,7a,7,Cylindropuntia anthrocarpa,2.61,0.4,0.3,1.1,1,2,2,2,5,34.78262,115.66261,a
1,2018,34.78286,115.66251,34.78203,115.66281,35,8a,8,Cylindropuntia anthrocarpa,3.92,0.5,0.3,0.7,1,3,1,0,4,34.78255,115.66258,a
1,2018,34.78286,115.66251,34.78203,115.66281,40,9a,9,Cylindropuntia anthrocarpa,1.96,0.1,0.1,0.5,1,3,1,0,4,34.78251,115.66262,a
1,2018,34.78286,115.66251,34.78203,115.66281,45,10a,10,Cylindropuntia anthrocarpa,1.96,0.8,1.1,1.2,3,2,4,3,4,34.78244,115.66262,a
1,2018,34.78286,115.66251,34.78203,115.66281,50,11a,11,Cylindropuntia anthrocarpa,2.27,0.15,0.2,0.6,1,2,2,0,4,34.78242,115.66269,a
1,2018,34.78286,115.66251,34.78203,115.66281,55,12a,12,Cylindropuntia anthrocarpa,3.93,0.7,0.6,1,1,3,6,4,5,34.78238,115.6627,a
1,2018,34.78286,115.66251,34.78203,115.66281,60,13a,13,Cylindropuntia anthrocarpa,1.56,0.4,0.45,0.55,1,2,3,1,5,34.78234,115.66269,a
1,2018,34.78286,115.66251,34.78203,115.66281,65,14a,14,Cylindropuntia anthrocarpa,1.18,0.15,0.1,0.5,1,2,2,0,3,34.78231,115.66272,a
1,2018,34.78286,115.66251,34.78203,115.66281,70,15a,15,Cylindropuntia anthrocarpa,2.09,1.1,1.4,1.3,3,5,5,2,3,34.78229,115.66272,a
1,2018,34.78286,115.66251,34.78203,115.66281,75,16a,16,Cylindropuntia anthrocarpa,1.74,1.9,1.3,1.1,3,4,3,7,3,34.78221,115.662769,a
1,2018,34.78286,115.66251,34.78203,115.66281,80,17a,17,Cylindropuntia anthrocarpa,1.68,1,1.1,1.2,2,4,9,4,4,34.78217,115.66274,a
1,2018,34.78286,115.66251,34.78203,115.66281,85,18a,18,Cylindropuntia anthrocarpa,2.62,0.2,0.3,0.8,1,6,2,0,5,34.78212,115.66275,a
1,2018,34.78286,115.66251,34.78203,115.66281,90,19a,19,Cylindropuntia anthrocarpa,2.28,1.55,1.2,1.1,5,5,3,3,4,34.78211,115.66277,a
1,2018,34.78286,115.66251,34.78203,115.66281,95,20a,20,Cylindropuntia anthrocarpa,2.17,0.15,0.1,0.4,1,2,0,0,5,34.78205,115.66283,a
1,2018,34.78286,115.66251,34.78203,115.66281,100,21a,21,Cylindropuntia anthrocarpa,1.67,0.6,0.25,0.7,1,4,3,0,3,34.78203,115.66281,a
2,2018,34.78289,115.66261,34.7821,115.66297,0,22a,22,Cylindropuntia anthrocarpa,3.53,1.4,1.3,1.2,2,14,2,2,4,34.78289,115.66265,a
2,2018,34.78289,115.66261,34.7821,115.66297,5,23a,23,Cylindropuntia anthrocarpa,0.27,0.2,0.2,1,1,3,2,1,5,34.78284,115.66262,a
2,2018,34.78289,115.66261,34.7821,115.66297,10,24a,24,Cylindropuntia anthrocarpa,1.23,1.9,1.55,1.5,5,4,5,7,5,34.7828,115.66284,a
2,2018,34.78289,115.66261,34.7821,115.66297,15,25a,25,Cylindropuntia anthrocarpa,1.81,0.25,0.25,0.7,1,3,0,0,5,34.78278,115.66265,a
2,2018,34.78289,115.66261,34.7821,115.66297,20,26a,26,Cylindropuntia anthrocarpa,0.83,1.65,1.5,1.6,4,4,3,7,3,34.78273,115.66269,a
2,2018,34.78289,115.66261,34.7821,115.66297,25,27a,27,Cylindropuntia anthrocarpa,2.24,0.2,0.4,0.7,1,2,3,0,5,34.78272,115.66268,a
2,2018,34.78289,115.66261,34.7821,115.66297,30,28a,28,Cylindropuntia anthrocarpa,1.02,0.4,0.5,0.7,3,4,3,2,4,34.78264,115.66273,a
2,2018,34.78289,115.66261,34.7821,115.66297,35,29a,29,Cylindropuntia anthrocarpa,1.43,0.55,0.55,0.9,2,3,2,1,5,34.78262,115.66274,a
2,2018,34.78289,115.66261,34.7821,115.66297,40,30a,30,Cylindropuntia anthrocarpa,0.97,0.6,0.8,1.1,1,5,4,2,4,34.78258,115.66277,a
2,2018,34.78289,115.66261,34.7821,115.66297,45,31a,31,Cylindropuntia anthrocarpa,2.77,0.15,0.3,0.7,1,2,5,0,5,34.78256,115.6628,a
2,2018,34.78289,115.66261,34.7821,115.66297,50,32a,32,Cylindropuntia anthrocarpa,1.38,0.3,0.5,0.85,1,3,3,2,5,34.78249,115.66282,a
2,2018,34.78289,115.66261,34.7821,115.66297,55,33a,33,Cylindropuntia anthrocarpa,2.16,0.2,0.3,0.4,2,3,0,0,4,34.78247,115.6628,a
2,2018,34.78289,115.66261,34.7821,115.66297,60,34a,34,Cylindropuntia anthrocarpa,1.77,0.85,0.7,1.2,4,2,4,2,4,34.78241,115.66286,a
2,2018,34.78289,115.66261,34.7821,115.66297,65,35a,35,Cylindropuntia anthrocarpa,2.74,1.1,1.3,1.4,3,5,3,2,4,34.78239,115.66284,a
2,2018,34.78289,115.66261,34.7821,115.66297,70,36a,36,Cylindropuntia anthrocarpa,5.37,0.35,0.1,0.6,2,3,1,0,4,34.78233,115.6628,a
2,2018,34.78289,115.66261,34.7821,115.66297,75,37a,37,Cylindropuntia anthrocarpa,3.06,0.4,0.5,0.7,1,3,2,4,5,34.78229,115.66286,a
2,2018,34.78289,115.66261,34.7821,115.66297,80,38a,38,Cylindropuntia anthrocarpa,4.22,1.4,1.1,1.3,8,3,6,1,4,34.78224,115.66286,a
2,2018,34.78289,115.66261,34.7821,115.66297,85,39a,39,Cylindropuntia anthrocarpa,4.94,0.5,0.8,0.7,3,3,5,2,3,34.78216,115.6629,a
2,2018,34.78289,115.66261,34.7821,115.66297,90,40a,40,Cylindropuntia anthrocarpa,3.75,0.2,0.4,0.75,2,3,3,0,3,34.78211,115.66293,a
2,2018,34.78289,115.66261,34.7821,115.66297,95,41a,41,Cylindropuntia anthrocarpa,2.11,0.7,0.75,1.1,7,2,2,3,4,34.78212,115.66297,a
2,2018,34.78289,115.66261,34.7821,115.66297,100,42a,42,Cylindropuntia anthrocarpa,1.6,0.75,1.15,1.1,4,8,5,3,3,34.78208,115.66299,a
3,2018,34.78297,115.66272,34.78208,115.66392,0,43a,43,Cylindropuntia anthrocarpa,3.07,2.3,1,1.4,5,8,9,2,3,34.78292,115.66275,a
3,2018,34.78297,115.66272,34.78208,115.66392,5,44a,44,Cylindropuntia anthrocarpa,2.32,1.1,0.8,1.2,3,3,3,5,4,34.78292,115.6627,a
3,2018,34.78297,115.66272,34.78208,115.66392,10,45a,45,Cylindropuntia anthrocarpa,1.68,2.9,2.4,1.6,12,6,5,2,2,34.78284,115.66273,a
3,2018,34.78297,115.66272,34.78208,115.66392,15,46a,46,Cylindropuntia anthrocarpa,0,1.9,2.4,1.65,10,7,5,4,3,34.78283,115.66276,a
3,2018,34.78297,115.66272,34.78208,115.66392,20,47a,47,Cylindropuntia anthrocarpa,1.23,2.8,2.6,2.2,8,10,12,5,3,34.78279,115.66277,a
3,2018,34.78297,115.66272,34.78208,115.66392,25,48a,48,Cylindropuntia anthrocarpa,0.62,0.7,0.6,1.4,1,5,2,2,5,34.78275,115.66278,a
3,2018,34.78297,115.66272,34.78208,115.66392,30,49a,49,Cylindropuntia anthrocarpa,2.47,0.1,0.2,0.3,1,3,0,0,5,34.78271,115.66279,a
3,2018,34.78297,115.66272,34.78208,115.66392,35,50a,50,Cylindropuntia anthrocarpa,1.14,0.9,1.1,1.3,2,3,2,3,5,34.78268,115.66283,a
3,2018,34.78297,115.66272,34.78208,115.66392,40,51a,51,Cylindropuntia anthrocarpa,1.08,1.8,1.7,1.1,6,3,6,7,3,34.78265,115.66283,a
3,2018,34.78297,115.66272,34.78208,115.66392,45,52a,52,Cylindropuntia anthrocarpa,0.74,1.3,1.4,1.4,4,6,10,2,4,34.7826,115.66283,a
3,2018,34.78297,115.66272,34.78208,115.66392,50,53a,53,Cylindropuntia anthrocarpa,1.69,0.7,0.9,1.4,1,4,3,3,5,34.78255,115.66285,a
3,2018,34.78297,115.66272,34.78208,115.66392,55,54a,54,Cylindropuntia anthrocarpa,4.22,1.2,1.6,1.4,2,4,6,3,4,34.78247,115.66284,a
3,2018,34.78297,115.66272,34.78208,115.66392,60,55a,55,Cylindropuntia anthrocarpa,0.53,1.6,1.8,1.4,4,1,2,4,3,34.78255,115.66285,a
3,2018,34.78297,115.66272,34.78208,115.66392,65,56a,56,Cylindropuntia anthrocarpa,4.98,0.85,0.9,1.2,1,7,3,2,4,34.78241,115.66286,a
3,2018,34.78297,115.66272,34.78208,115.66392,70,57a,57,Cylindropuntia anthrocarpa,7.24,0.9,0.7,1.1,2,5,2,1,5,34.78238,115.663,a
3,2018,34.78297,115.66272,34.78208,115.66392,75,58a,58,Cylindropuntia anthrocarpa,6.74,1.2,1.5,1.4,3,10,3,5,4,34.78227,115.663,a
3,2018,34.78297,115.66272,34.78208,115.66392,80,59a,59,Cylindropuntia anthrocarpa,3.29,1.1,0.7,0.7,3,7,5,2,1,34.78223,115.66294,a
3,2018,34.78297,115.66272,34.78208,115.66392,85,60a,60,Cylindropuntia anthrocarpa,0.67,1.3,2,1.4,2,12,4,2,5,34.78222,115.66298,a
3,2018,34.78297,115.66272,34.78208,115.66392,90,61a,61,Cylindropuntia anthrocarpa,0.62,0.1,0.15,0.4,2,1,0,0,4,34.78218,115.66296,a
3,2018,34.78297,115.66272,34.78208,115.66392,95,62a,62,Cylindropuntia anthrocarpa,1.35,0.1,0.1,0.8,1,2,1,0,4,34.78212,115.66297,a
3,2018,34.78297,115.66272,34.78208,115.66392,100,63a,63,Cylindropuntia anthrocarpa,1.13,0.1,0.2,0.7,1,3,2,4,4,34.7821,115.66299,a
4,2018,34.783,115.66238,34.78212,115.66313,0,64a,64,Cylindropuntia anthrocarpa,1.54,1.5,1.7,1.4,2,4,3,2,5,34.78297,115.66283,a
4,2018,34.783,115.66238,34.78212,115.66313,5,65a,65,Cylindropuntia anthrocarpa,1.35,0.9,1,1.2,1,5,3,2,5,34.78293,115.66284,a
4,2018,34.783,115.66238,34.78212,115.66313,10,66a,66,Cylindropuntia anthrocarpa,2.14,1.9,1.8,1.7,2,6,3,2,5,34.78291,115.66286,a
4,2018,34.783,115.66238,34.78212,115.66313,15,67a,67,Cylindropuntia anthrocarpa,1.78,1.6,2.1,1.5,4,12,4,4,5,34.78287,115.66288,a
4,2018,34.783,115.66238,34.78212,115.66313,20,68a,68,Cylindropuntia anthrocarpa,3.33,1.2,1.9,1.5,5,11,4,6,3,34.78281,115.66283,a
4,2018,34.783,115.66238,34.78212,115.66313,25,69a,69,Cylindropuntia anthrocarpa,1.49,0.2,0.2,0.4,1,2,2,0,5,34.78278,115.66287,a
4,2018,34.783,115.66238,34.78212,115.66313,30,70a,70,Cylindropuntia anthrocarpa,2.09,1.9,2.5,1.5,6,20,2,2,4,34.7827,115.66288,a
4,2018,34.783,115.66238,34.78212,115.66313,35,71a,71,Cylindropuntia anthrocarpa,0.69,1.8,2.2,1.6,3,12,3,1,3,34.78268,115.6629,a
4,2018,34.783,115.66238,34.78212,115.66313,40,72a,72,Cylindropuntia anthrocarpa,1.93,0.3,0.35,0.8,1,2,3,1,5,34.78265,115.66292,a
4,2018,34.783,115.66238,34.78212,115.66313,45,73a,73,Cylindropuntia anthrocarpa,1.56,0.7,1.1,1.2,1,4,3,5,1,34.78257,115.66296,a
4,2018,34.783,115.66238,34.78212,115.66313,50,74a,74,Cylindropuntia anthrocarpa,1.89,1,0.8,1.2,1,11,3,4,4,34.78253,115.66296,a
4,2018,34.783,115.66238,34.78212,115.66313,55,75a,75,Cylindropuntia anthrocarpa,1.72,0.05,0.1,0.5,1,0,0,0,3,34.78249,115.66299,a
4,2018,34.783,115.66238,34.78212,115.66313,60,76a,76,Cylindropuntia anthrocarpa,2.67,1.9,1.5,1.6,1,4,6,5,4,34.78248,115.66302,a
4,2018,34.783,115.66238,34.78212,115.66313,65,77a,77,Cylindropuntia anthrocarpa,0.59,1.9,2,1.6,4,4,7,2,4,34.78242,115.302,a
4,2018,34.783,115.66238,34.78212,115.66313,70,78a,78,Cylindropuntia anthrocarpa,1.05,1.8,2.1,1.4,5,12,3,6,3,34.78235,115.66306,a
4,2018,34.783,115.66238,34.78212,115.66313,75,79a,79,Cylindropuntia anthrocarpa,1.84,0.5,0.4,0.7,1,3,2,1,5,34.78228,115.66306,a
4,2018,34.783,115.66238,34.78212,115.66313,80,80a,80,Cylindropuntia anthrocarpa,1.63,0.15,0.1,0.4,1,2,1,2,4,34.78225,115.66308,a
4,2018,34.783,115.66238,34.78212,115.66313,85,81a,81,Cylindropuntia anthrocarpa,2.57,2,0.9,1.1,1,3,3,3,4,34.7822,115.66312,a
4,2018,34.783,115.66238,34.78212,115.66313,90,82a,82,Cylindropuntia anthrocarpa,1.78,1.8,1.4,1.6,1,3,3,3,3,34.78216,115.66312,a
4,2018,34.783,115.66238,34.78212,115.66313,95,83a,83,Cylindropuntia anthrocarpa,1.98,1.1,0.7,0.8,1,2,2,1,5,34.78214,115.66314,a
4,2018,34.783,115.66238,34.78212,115.66313,100,84a,84,Cylindropuntia anthrocarpa,1.78,0.25,0.2,0.6,1,3,2,0,4,34.78209,115.6631,a
5,2018,34.78397,115.66319,34.7822,115.66343,0,85a,85,Cylindropuntia anthrocarpa,7.49,1.4,1.2,1.6,1,8,3,3,5,34.78313,115.66325,a
5,2018,34.78397,115.66319,34.7822,115.66343,5,86a,86,Cylindropuntia anthrocarpa,6.41,1.3,0.8,1.2,1,2,3,3,5,34.78305,115.66328,a
5,2018,34.78397,115.66319,34.7822,115.66343,10,87a,87,Cylindropuntia anthrocarpa,1.74,0.8,0.7,1,1,4,3,2,5,34.78297,115.66325,a
5,2018,34.78397,115.66319,34.7822,115.66343,15,88a,88,Cylindropuntia anthrocarpa,9.5,1.6,1.9,1.8,1,4,4,2,4,34.78292,115.66333,a
5,2018,34.78397,115.66319,34.7822,115.66343,20,89a,89,Cylindropuntia anthrocarpa,0.93,0.1,0.1,0.7,1,2,0,0,2,34.78291,115.66323,a
5,2018,34.78397,115.66319,34.7822,115.66343,25,90a,90,Cylindropuntia anthrocarpa,5.26,0.45,0.3,0.65,1,2,2,2,4,34.7828,115.66323,a
5,2018,34.78397,115.66319,34.7822,115.66343,30,91a,91,Cylindropuntia anthrocarpa,3.32,0.9,1.2,1.1,1,3,2,2,5,34.78279,115.66325,a
5,2018,34.78397,115.66319,34.7822,115.66343,35,92a,92,Cylindropuntia anthrocarpa,1.94,0.7,0.6,0.8,1,2,4,6,4,34.78275,115.66327,a
5,2018,34.78397,115.66319,34.7822,115.66343,40,93a,93,Cylindropuntia anthrocarpa,2.47,0.6,0.6,0.9,3,5,7,9,5,34.78272,115.66326,a
5,2018,34.78397,115.66319,34.7822,115.66343,45,94a,94,Cylindropuntia anthrocarpa,3.74,0.2,0.3,0.5,3,4,3,1,5,34.78263,115.66237,a
5,2018,34.78397,115.66319,34.7822,115.66343,50,95a,95,Cylindropuntia anthrocarpa,0.8,0.3,0.3,0.8,1,2,1,2,4,34.78259,115.66329,a
5,2018,34.78397,115.66319,34.7822,115.66343,55,96a,96,Cylindropuntia anthrocarpa,2.53,1.2,1.3,1,2,9,7,1,2,34.78256,115.66328,a
5,2018,34.78397,115.66319,34.7822,115.66343,60,97a,97,Cylindropuntia anthrocarpa,3.86,1.1,1.6,1.2,3,7,2,5,3,34.7825,115.66337,a
5,2018,34.78397,115.66319,34.7822,115.66343,65,98a,98,Cylindropuntia anthrocarpa,1.53,0.7,0.9,1,1,1,1,2,5,34.78247,115.66334,a
5,2018,34.78397,115.66319,34.7822,115.66343,70,99a,99,Cylindropuntia anthrocarpa,6.56,0.9,1.2,1.1,1,2,3,4,3,34.78243,115.66342,a
5,2018,34.78397,115.66319,34.7822,115.66343,75,100a,100,Cylindropuntia anthrocarpa,2.82,0.3,0.3,0.2,3,11,3,5,5,34.78266,115.66366,a
