cactus_id,species,x,y,z,primary,secondary,tertiary,quaternary,health_index,lat,long
1,Opuntia basilaris,0.15,0.15,0.15,13,1,0,0,5,34.7832,-115.65968
2,Opuntia basilaris,0.3,0.4,0.2,24,3,0,0,1,34.78348,-115.66034
3,Opuntia basilaris,0.2,0.3,0.2,11,4,0,0,1,34.78349,-115.66034
4,Opuntia basilaris,0.2,0.2,0.1,5,3,0,0,5,34.78335,-115.6605
5,Opuntia basilaris,0.1,0.15,0.1,6,0,0,0,5,34.78329,-115.66115
6,Opuntia basilaris,0.4,0.4,0.15,11,35,6,0,2,34.78325,-115.66113
7,Opuntia basilaris,0.1,0.1,0.1,4,0,0,0,4,34.78326,-115.66129
8,Opuntia basilaris,0.15,0.1,0.1,4,7,0,0,3,34.78321,-115.6613
9,Opuntia basilaris,0.25,0.1,0.15,4,16,0,0,3,34.78321,-115.66148
10,Opuntia basilaris,0.4,0.3,0.15,5,31,0,0,4,34.78268,-115.66274
11,Opuntia basilaris,0.55,0.6,0.2,10,28,5,0,2,34.78236,-115.66281
12,Opuntia basilaris,0.3,0.45,0.2,11,22,0,0,2,34.78212,-115.66278
13,Opuntia basilaris,0.3,0.35,0.2,14,10,0,0,3,34.78205,-115.66299
14,Opuntia basilaris,0.5,0.4,0.15,20,13,0,0,1,34.78208,-115.66302
15,Opuntia basilaris,0.15,0.15,0.1,3,11,0,0,4,34.7821,-115.66305
16,Opuntia basilaris,0.35,0.4,0.25,13,29,7,0,2,34.78266,-115.66333
17,Opuntia basilaris,0.4,0.45,0.3,4,35,3,0,1,34.78268,-115.66347
18,Opuntia basilaris,0.2,0.3,0.25,3,16,0,0,1,34.78262,-115.66347
19,Opuntia basilaris,0.3,0.4,0.15,16,25,0,0,1,34.78249,-115.66351
20,Opuntia basilaris,0.25,0.3,0.2,4,33,4,0,4,34.78244,-115.66331
21,Opuntia basilaris,0.2,0.25,0.2,4,24,0,0,4,34.78283,-115.6633
22,Opuntia basilaris,0.2,0.15,0.1,2,8,0,0,2,34.78283,-115.66325
23,Opuntia basilaris,0.35,0.3,0.2,14,11,3,0,4,34.78309,-115.66318
24,Opuntia basilaris,0.1,0.1,0.15,3,0,0,0,5,34.78306,-115.66324
25,Opuntia basilaris,0.1,0.2,0.1,2,15,0,0,3,34.78322,-115.663
26,Opuntia basilaris,0.4,0.6,0.2,14,36,8,0,2,34.78322,-115.66294